Ticker,Name,Sector,Score,Tier,Session,PM Change %,PM Volume,PM Price,Prev Close,Gap %,L1 Catalyst,L2 Volume,L3 Price,L4 RS,L5 Options,Data Sources
COO,"The Cooper Companies, Inc.",Healthcare,4,TRADE,after-hours,5.32,9084331,67.34,62.02,8.58,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol = 29.1% of ADV,Gap +8.6% vs prior close; Above prior day high (62.98); Testing/reclaiming 50-day MA (64.91); Pre-mkt price above prior VWAP proxy (66.65),Stock +0.0% — insufficient RS edge,IV rank 54th percentile; Call/Put vol ratio 6.6×,L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
LULU,Lululemon Athletica Inc.,Consumer Cyclical,4,TRADE,after-hours,-10.69,16093667,114.23,124.92,-8.56,"EPS surprise -100.0%; Strong analyst consensus: 10 analysts, EPS $12.15 tight range (±6%); Analyst downgrade today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol = 38.6% of ADV; RVOL = 2.5×,Gap -8.6% vs prior close; Pre-mkt price above prior VWAP proxy (113.45),Stock +0.0% — insufficient RS edge,ATM IV 51% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
NXPI,NXP Semiconductors N.V.,Technology,4,TRADE,after-hours,-26.26,7895765,295.96,322.22,-8.15,"EPS surprise -100.0%; Analyst maintain today; 1 article(s) — ""NXP Semiconductors (NXPI) Declines More Than Market: Some In"" (Zacks Investment Research)",Pre-mkt vol = 20.1% of ADV,Gap -8.1% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; ATM IV 56% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
MU,"Micron Technology, Inc.",Technology,3,WATCH,after-hours,-131.99,75470812,864.01,996.0,-13.25,"EPS surprise -100.0%; High analyst uncertainty: EPS range $10.27–$19.91 (57% spread); Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 13.4% of ADV (need ≥20%),Gap -13.3% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; ATM IV 108% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
TER,"Teradyne, Inc.",Technology,3,WATCH,after-hours,-48.93,5328093,357.93,406.86,-12.03,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 14.3% of ADV (need ≥20%),Gap -12.0% vs prior close; Testing/reclaiming 50-day MA (356.57),Stock +0.0% — insufficient RS edge,IV rank 100th percentile; Call/Put vol ratio 3.3×; ATM IV 89% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
FSLR,"First Solar, Inc.",Energy,3,WATCH,after-hours,-35.94,3845740,279.01,314.95,-11.41,"EPS surprise -100.0%; High analyst uncertainty: EPS range $7.77–$9.51 (20% spread); Analyst upgrade today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 12.5% of ADV (need ≥20%),Gap -11.4% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 77th percentile; ATM IV 78% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
SNDK,Sandisk Corporation,Technology,3,WATCH,after-hours,-200.36,13068427,1559.32,1759.68,-11.39,"EPS surprise -100.0%; High analyst uncertainty: EPS range $41.75–$67.13 (48% spread); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 10.7% of ADV (need ≥20%),Gap -11.4% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 58th percentile; ATM IV 111% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
INTC,Intel Corporation,Technology,3,WATCH,after-hours,-12.61,142928271,99.17,111.78,-11.28,"EPS surprise -100.0%; Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 10.7% of ADV (need ≥20%),Gap -11.3% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 100th percentile; ATM IV 86% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
SMCI,"Super Micro Computer, Inc.",Technology,3,WATCH,after-hours,-5.26,46868406,41.64,46.9,-11.22,"EPS surprise -100.0%; Revenue estimate +7.9% vs prior period ($15.8B avg, 5 analysts); High analyst uncertainty: EPS range $0.66–$1.10 (47% spread); Analyst maintain today; 5 article(s) — ""ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Graphic Packa"" (Newsfile Corp)",Pre-mkt vol 11.0% of ADV (need ≥20%),Gap -11.2% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 82th percentile; ATM IV 84% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
WDC,Western Digital Corporation,Technology,3,WATCH,after-hours,-63.78,8944211,511.72,575.5,-11.08,"EPS surprise -100.0%; High analyst uncertainty: EPS range $5.92–$7.29 (20% spread); Analyst maintain today; 5 article(s) — ""Battery X Metals Announces Closing of First Tranche of Priva"" (Accesswire)",Pre-mkt vol 13.1% of ADV (need ≥20%),Gap -11.1% vs prior close,Stock +0.0% — insufficient RS edge,IV rank 57th percentile; ATM IV 98% (elevated),L1:[FMP|SEC EDGAR]  L2:[FMP|computed]  L3:[FMP]  L4:[FMP]  L5:[Unusual Whales|yfinance]
